DC_Code,DC_Name,barcode,stock_no,description_1,description_2,category,category_name,total_inventory,shipping_qty,allocate_qty,blocked_qty,available_qty,arrival_qty,expected_inventory,order_point,unit,uodate_date
02,DC02,130685,130685,【シャビーシック】天然木製サイドシャンプーキャビネットRENE-S（下部）WH,,2HA2,理美容・ヘア,20,0,0,0,20,0,20,0,PC,2020/07/09 14:01:26

02,DC02,4538634321186,XK-0259N,SAV-110KP,,2HA2,理美容・ヘア,9,0,0,0,9,10,19,0,PC,2020/07/02 17:22:33

02,DC02,4538634800841,XK-0271N,SAV-110KP用3mホース,,2HA2,理美容・ヘア,9,0,0,0,9,0,9,0,PC,2020/07/02 14:57:08

02,DC02,4560441252124,MI-1403P,【スタイリングウォールミラー】ブロンズウッド ブロンズ (ノーマルサイズ),,2HA2,理美容・ヘア,128,0,0,0,128,0,128,0,PC,2020/07/29 17:03:12

02,DC02,4560441252162,MI-1395P,【スタイリングウォールミラー】アンティークゴールド (ノーマルサイズ),,2HA2,理美容・ヘア,66,0,0,0,66,0,66,0,PC,2020/07/27 17:16:29

02,DC02,4560441256054,DE-2278P,スタンダードエステベッドF-201（有孔）,,2ES2,エステティック,27,0,0,0,27,0,27,0,PC,2020/07/31 15:25:52

02,DC02,4560441256061,DE-2276P,スタンダードエステベッドF-201（無孔）,,2ES2,エステティック,29,0,0,0,29,0,29,0,PC,2020/08/04 14:14:50

02,DC02,4560441256078,DE-2274P,スタンダードエステベッドF-201（有孔）,,2ES2,エステティック,29,0,0,0,29,0,29,0,PC,2020/08/04 14:14:22

02,DC02,4560441256092,DE-1939P,低反発ワイドエステベッドF-201S（有孔）,,2ES2,エステティック,3,0,0,0,3,0,3,0,PC,2020/03/10 15:40:43

02,DC02,4560441256108,DE-1873P,ワイドエステベッドF-201W（有孔）,,2ES2,エステティック,20,0,0,0,20,0,20,0,PC,2020/08/03 13:56:18

02,DC02,4560441256115,DE-1874P,ワイドエステベッドF-201W（無孔）,,2ES2,エステティック,35,1,0,0,34,0,34,0,PC,2020/08/03 16:49:35

02,DC02,4560441256436,DM-8806P,手動昇降マッサージベッドDX（フェイスマット・アームレスト付）,,2ES2,エステティック,43,0,0,0,43,0,43,121,PC,2020/08/03 14:18:00

02,DC02,4560441256443,DM-8804P,手動昇降マッサージベッドDX（フェイスマット・アームレスト付）,,2ES2,エステティック,10,0,0,0,10,0,10,0,PC,2020/08/04 16:16:26

02,DC02,4560441256559,DK-0966P,カイロベッドC-263,,2ES2,エステティック,7,0,0,0,7,0,7,0,PC,2020/08/04 16:19:38

02,DC02,4560441256566,DK-0964P,カイロベッドC-263,,2ES2,エステティック,22,0,0,0,22,0,22,0,PC,2020/07/29 14:24:57

02,DC02,4560441257501,AT-0194P,スタンダードネイルテーブル,,2NA2,ネイル,66,0,0,0,66,50,116,0,PC,2020/08/03 16:55:32

02,DC02,4560441257525,AT-0192P,スタンダードネイルテーブル,,2NA2,ネイル,55,0,0,0,55,0,55,0,PC,2020/07/22 13:19:37

02,DC02,4560441258201,XK-0057P,A型両面サイン(M)(磁性なし・マーカータイプ),,2HA2,理美容・ヘア,93,0,0,0,93,0,93,131,PC,2020/07/22 13:30:21

02,DC02,4560441258218,XK-0059P,A型両面サイン(L)(磁性有り・マーカータイプ),,2HA2,理美容・ヘア,1,0,0,0,1,0,1,54,PC,2019/12/03 14:41:25

02,DC02,4560441258225,XK-0063P,A型両面サイン(L)(磁性有り・マーカータイプ),,2HA2,理美容・ヘア,9,1,1,0,8,0,8,174,PC,2020/08/04 13:52:49

02,DC02,4560441258232,XK-0061P,A型両面サイン(L)(磁性有り・マーカータイプ),,2HA2,理美容・ヘア,32,0,0,0,32,0,32,83,PC,2020/08/03 15:02:48

02,DC02,4560441258263,XK-0069P,大型木製イーゼル(ミラー対応),,2HA2,理美容・ヘア,40,0,0,0,40,0,40,17,PC,2020/08/03 13:59:33

02,DC02,4560441259666,MI-1574P,【スタイリングウォールミラー】ダークブラウン,,2HA2,理美容・ヘア,52,0,0,0,52,0,52,0,PC,2020/08/03 17:32:22

02,DC02,4560441261140,AW-0078P,フットケアステージHD-010,,2NA2,ネイル,2,0,0,0,2,0,2,72,PC,2020/05/19 16:26:05

02,DC02,4560441261256,AT-0255P,ネイルテーブル シングルキャビネットBasic,,2NA2,ネイル,2,0,0,0,2,0,2,130,PC,2019/04/04 16:43:01

02,DC02,4560441261409,AT-0466P,ネイルテーブル シングルキャビネットBasic（脚部）,,2NA2,ネイル,2,0,0,0,2,0,2,0,PC,2019/04/04 16:42:51

02,DC02,4560441261416,AS-1294P,ラグジュアリーネイルチェア,,2NA2,ネイル,24,0,0,0,24,0,24,125,PC,2020/07/29 13:07:27

02,DC02,4560441261430,AS-1298P,スマートネイルチェア,,2NA2,ネイル,22,0,0,0,22,0,22,119,PC,2020/07/31 13:30:23

02,DC02,4560441261447,AS-1300P,スマートネイルチェア,,2NA2,ネイル,37,0,0,0,37,0,37,39,PC,2020/07/06 13:39:48

02,DC02,4560441261584,XG-2866P,ハイパーエステワゴン(ボール付）,,2ES2,エステティック,25,0,0,0,25,4,29,38,PC,2020/08/03 14:19:41

02,DC02,4560441262680,BO-0143P,コンパクト泡沫シャワーヘッド ブラック,,2HA2,理美容・ヘア,2,0,0,0,2,0,2,68,PC,2020/05/19 16:21:50

02,DC02,4560441263335,XG-2927P,ストレージワゴンT618（組立済/7段/ホイールキャスター仕様）,,2HA2,理美容・ヘア,88,2,1,0,86,0,86,97,PC,2020/08/03 16:34:26

02,DC02,4560441264042,DP-1856P,高級ワイド木製折りたたみベッド006WDX（ダークグリーン）,,2ES2,エステティック,1,0,0,0,1,0,1,47,PC,2020/04/03 17:46:14

